100 Квартал,770000000007684
10-й Марьиной Рощи Проезд,770000000001799
10 Квартал,770000000000110
10 Квартал,770000000007672
10-летия Октября Улица,770000000007091
10-я Новые Сады Улица,770000000002076
10-я Парковая Улица,770000000002208
10-я Радиальная Улица,770000000004203
10-я Соколиной Горы Улица,770000000002695
10-я Чоботовская Аллея,770000000003115
110 Квартал,770000000007683
113а Волжский Бульвар Квартал,770000000007914
114а Волжский Бульвар Квартал,770000000007906
11-й Марьиной Рощи Проезд,770000000001800
11-й Проспект,770000000003628
11 Квартал,770000000000111
11 Квартал,770000000007671
11-ти Героев Сапёров Аллея,770000000007500
11-я Новые Сады Улица,770000000002077
11-я Парковая Улица,770000000002209
11-я Радиальная Улица,770000000004204
11-я Текстильщиков Улица,770000000000222
11-я Чоботовская Аллея,770000000003116
120 Квартал,770000000007682
12-й Марьиной Рощи Проезд,770000000001801
12 Квартал,770000000000112
12 Квартал,770000000007670
12-я Красной Сосны Линия,770000000003943
12-я Новокузьминская Улица,770000000000074
12-я Парковая Улица,770000000002210
130 Квартал,770000000007681
134а Самаркандский Бульвар Квартал,770000000007913
137а Самаркандский Бульвар Квартал,770000000007912
13-й Марьиной Рощи Проезд,770000000001802
13 Квартал,770000000000113
13 Квартал,770000000007669
13-я Красной Сосны Линия,770000000003332
13-я Парковая Улица,770000000002211
14-й Марьиной Рощи Проезд,770000000001803
14 Квартал,770000000000114
14 Квартал,770000000007668
14-я Парковая Улица,770000000002212
15 Квартал,770000000000115
15 Квартал,770000000007667
15-я Парковая Улица,770000000002213
16 Квартал,770000000000109
16 Квартал,770000000007666
16-я Парковая Улица,770000000002214
17-й Марьиной Рощи Проезд,770000000001817
17 Квартал,770000000000090
17 Квартал,770000000007665
1812 года Улица,770000000000701
18а Квартал,770000000000103
18б Квартал,770000000000101
18 Квартал,770000000000084
1905 года Улица,770000000000702
19а Квартал,770000000000085
19 Квартал,770000000000104
1а Квартал,770000000000079
1-й Автозаводский Проезд,770000000000715
1-й Амбулаторный Проезд,770000000000737
1-й Архивный Переулок,770000000000769
1-й Бабьегородский Переулок,770000000000784
1-й Бабьегородский переулок Переулок,770000000000784
1-й Балтийский Переулок,770000000000798
1-й Балтийский переулок Переулок,770000000000798
1-й Басманный Переулок,770000000000629
1-й Белокаменный Проезд,770000000000835
1-й Ботанический Проезд,770000000003255
1-й Боткинский Проезд,770000000000897
1-й Боткинский проезд Проезд,770000000000897
1-й Варшавский Проезд,770000000000474
1-й Верхний Михайловский Проезд,770000000004104
1-й Вешняковский Проезд,770000000000011
1-й Войковский Проезд,770000000000994
1-й Волконский Переулок,770000000000538
1-й Волоколамский Проезд,770000000001005
1-й Вражский Переулок,770000000001035
1-й Вышеславцев Переулок,770000000003553
1-й Вязовский Проезд,770000000000047
1-й Голутвинский Переулок,770000000001105
1-й Голутвинский переулок Переулок,770000000001105
1-й Гончарный Переулок,770000000001113
1-й Гончаровский Переулок,770000000003561
1-й Грайвороновский Проезд,770000000000266
1-й Дачно-Мещерский Проезд,770000000001160
1-й Дербеневский Переулок,770000000003572
1-й Добрынинский Переулок,770000000001204
1-й Донской Проезд,770000000001219
1-й Дорожный Проезд,770000000001229
1-й Дубровский Проезд,770000000000272
1-й Дунайский Переулок,770000000007650
1-й Дунайский Улица,770000000007650
1-й Зачатьевский Переулок,770000000007117
1-й Зборовский Переулок,770000000001325
1-й Земельный Переулок,770000000001338
1-й Зимёнковский Переулок,770000000007730
1-й Измайловского Зверинца Переулок,770000000001380
1-й Институтский Проезд,770000000000058
1-й Ирининский Переулок,770000000007063
1-й Иртышский Проезд,770000000003316
1-й Кабельный Проезд,770000000000248
1-й Кадашёвский Переулок,770000000001405
1-й Кадашёвский переулок Переулок,770000000001405
1-й Казанский Просек,770000000000006
1-й Казачий Переулок,770000000001413
1-й Казачий переулок Переулок,770000000001413
1-й Капотнинский Проезд,770000000003651
1-й Капотня Квартал,770000000007907
1-й Карачаровский Проезд,770000000001437
1-й Кирпичный Переулок,770000000001472
1-й Кожевнический Переулок,770000000001489
1-й Кожуховский Проезд,770000000001494
1-й Колобовский Переулок,770000000000553
1-й Коптельский Переулок,770000000000641
1-й Котельнический Переулок,770000000001557
1-й Котляковский Переулок,770000000003672
1-й Красковский Проезд,770000000000402
1-й Красногвардейский Проезд,770000000001580
1-й Красногорский Проезд,770000000001585
1-й Краснокурсантский Проезд,770000000000288
1-й Красносельский Переулок,770000000000651
1-й Крутицкий Переулок,770000000001624
1-й Курьяновский Проезд,770000000000190
1-й Леонова Проезд,770000000001692
1-й Лесной Переулок,770000000001701
1-й Лихачёвский Переулок,770000000001718
1-й Лучевой Просек,770000000001745
1-й Лыковский Проезд,770000000004176
1-й Люберецкий Проезд,770000000000042
1-й Люсиновский Переулок,770000000001756
1-й Магистральный Проезд,770000000001769
1-й Магистральный Тупик,770000000001770
1-й Марьиной Рощи Проезд,770000000001798
1-й Миргородский Переулок,770000000001859
1-й Митинский Переулок,770000000007216
1-й Можайский Тупик,770000000004344
1-й Монетчиковский Переулок,770000000001897
1-й Моравский Переулок,770000000007655
1-й Мосфильмовский Переулок,770000000007170
1-й Неопалимовский Переулок,770000000001979
1-й Нижнелихоборский Проезд,770000000003738
1-й Нижний Михайловский Проезд,770000000001875
1-й Николощеповский Переулок,770000000001998
1-й Новокузнецкий Переулок,770000000002031
1-й Новомихалковский Проезд,770000000002035
1-й Новоподмосковный Переулок,770000000002047
1-й Новотихвинский Переулок,770000000003755
1-й Новый Переулок,770000000000666
1-й Обыденский Переулок,770000000007120
1-й Ольховский Тупик,770000000000670
1-й Очаковский Переулок,770000000002175
1-й Павелецкий Проезд,770000000002184
1-й Павловский Переулок,770000000002189
1-й Пенягинский Проезд,770000000002235
1-й Перова Поля Проезд,770000000000427
1-й Петра Алексеева Переулок,770000000003238
1-й Пехотный Переулок,770000000002274
1-й Подбельского Проезд,770000000002304
1-й Подольский Переулок,770000000003414
1-й Полевой Переулок,770000000003416
1-й Поперечный Проезд,770000000004192
1-й Проспект,770000000003627
1-й Рабочий Переулок,770000000002430
1-й Раушский Переулок,770000000002457
1-й Рижский Переулок,770000000002473
1-й Рогозининский Переулок,770000000007728
1-й Рощинский Проезд,770000000002505
1-й Рушниковский Переулок,770000000007731
1-й Самотёчный Переулок,770000000000593
1-й Саратовский Проезд,770000000000309
1-й Сельскохозяйственный Проезд,770000000002602
1-й Сетуньский Проезд,770000000002633
1-й Силикатный Проезд,770000000002643
1-й Смоленский Переулок,770000000002678
1-й Спасоналивковский Переулок,770000000002736
1-й Спасоналивковский переулок Переулок,770000000002736
1-й Стрелецкий Проезд,770000000002803
1-й Суворовский Переулок,770000000003844
1-й Сыромятнический Переулок,770000000007145
1-й Тверской-Ямской Переулок,770000000002884
1-й Тихвинский Тупик,770000000000609
1-й Тружеников Переулок,770000000007177
1-й Тульский Переулок,770000000002944
1-й Тушинский Проезд,770000000002953
1-й Угрешский Проезд,770000000003477
1-й Хвостов Переулок,770000000003023
1-й Хвостов переулок Переулок,770000000003023
1-й Ходынский Проезд,770000000007516
1-й Хорошёвский Проезд,770000000003044
1-й Хуторской Переулок,770000000003057
1-й Шибаевский Переулок,770000000003146
1-й Шибаевский переулок Переулок,770000000003146
1-й Щемиловский Переулок,770000000000621
1-й Щипковский Переулок,770000000003175
1-й Электрозаводский Переулок,770000000003887
1-й Южнопортовый Проезд,770000000007427
1 Квартал,770000000000091
1 Квартал,770000000007664
1 Маевки Аллея,770000000002917
1-я 8 Марта Улица,770000000001029
1-я Аэропортовская Улица,770000000000779
1-я Аэропортовская улица Улица,770000000000779
1-я Бебеля Улица,770000000000821
1-я Белогорская Улица,770000000000831
1-я Боевская Улица,770000000000874
1-я Бородинская Улица,770000000003529
1-я Брестская Улица,770000000000902
1-я Бухвостова Улица,770000000003260
1-я Владимирская Улица,770000000000389
1-я Внуковская Улица,770000000000980
1-я Вольская Улица,770000000000001
1-я Горловская Улица,770000000001118
1-я Гражданская Улица,770000000001129
1-я Дубровская Улица,770000000000166
1-я Дьяково Городище Улица,770000000003584
1-я Железногорская Улица,770000000001272
1-я Измайловского Зверинца Улица,770000000001381
1-я Кабельная Улица,770000000000243
1-я Карачаровская Улица,770000000000022
1-я Карпатская Улица,770000000003654
1-я Квесисская Улица,770000000001456
1-я Крылатская Улица,770000000004343
1-я Курьяновская Улица,770000000000185
1-я Лазенки Улица,770000000001669
1-я Лукино Улица,770000000001740
1-я Лыковская Улица,770000000001751
1-я Магистральная Улица,770000000001763
1-я Машиностроения Улица,770000000000196
1-я Мелитопольская Улица,770000000001835
1-я Миусская Улица,770000000000566
1-я Муравская Улица,770000000001916
1-я Мытищинская Улица,770000000001924
1-я Мякининская Улица,770000000001929
1-я Мясниковская Улица,770000000001937
1-я Напрудная Улица,770000000001950
1-я Новокузьминская Улица,770000000000072
1-я Новосёлки Улица,770000000002060
1-я Новые Сады Улица,770000000002075
1-я Останкинская Улица,770000000002148
1-я Павлоградская Улица,770000000002192
1-я Парковая Улица,770000000002207
1-я Подрезковская Улица,770000000002316
1-я Прогонная Улица,770000000002380
1-я Прядильная Улица,770000000002399
1-я Пугачевская Улица,770000000002407
1-я Радиальная Улица,770000000003798
1-я Радиаторская Улица,770000000002433
1-я Рейсовая Улица,770000000007630
1-я Рославка Улица,770000000002490
1-я Рыбацкая Улица,770000000007781
1-я Рыбинская Улица,770000000002524
1-я Северная Линия,770000000007076
1-я Северодонецкая Улица,770000000003454
1-я Сестрорецкая Улица,770000000003824
1-я Синичкина Улица,770000000000311
1-я Сокольническая Улица,770000000002703
1-я Стекольная Улица,770000000003839
1-я Тверская-Ямская Улица,770000000002879
1-я Текстильщиков Улица,770000000000216
1-я улица 8 Марта Улица,770000000001029
1-я улица Ямского Поля Улица,770000000003214
1-я Фрезерная Улица,770000000000032
1-я Фрунзенская Улица,770000000003004
1-я Хорошёвского Серебряного Бора Линия,770000000003934
1-я Хуторская Улица,770000000003055
1-я Чоботовская Аллея,770000000007153
1-я Шелепихи Улица,770000000003138
1-я Ямская Улица,770000000003212
1-я Ямского Поля Улица,770000000003214
200 Квартал,770000000007689
20 Квартал,770000000000083
21а Квартал,770000000000086
21 Квартал,770000000000095
22 Квартал,770000000000096
23а Квартал,770000000000087
23 Квартал,770000000000097
24 Квартал,770000000000098
25а Квартал,770000000000088
25б Квартал,770000000000116
25 Квартал,770000000000099
25 Октября Улица,770000000007056
26 Бакинских Комиссаров Улица,770000000001166
26 Квартал,770000000000100
26-ти Бакинских Комиссаров Улица,770000000001166
2-й Автозаводский Проезд,770000000000716
2-й Амбулаторный Проезд,770000000000738
2-й Амбулаторный проезд Проезд,770000000000738
